"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 05, 2017","114.23","114.23","114.23","114.23","-","1.75%"
"Jan 04, 2017","112.26","112.26","112.26","112.26","-","0.31%"
"Jan 03, 2017","111.91","111.91","111.91","111.91","-","0.08%"
"Jan 02, 2017","111.82","111.82","111.82","111.82","-","0.00%"
"Dec 30, 2016","111.82","111.82","111.82","111.82","-","0.02%"
"Dec 29, 2016","111.80","111.80","111.80","111.80","-","1.67%"
"Dec 28, 2016","109.96","109.96","109.96","109.96","-","0.66%"
"Dec 27, 2016","109.24","109.24","109.24","109.24","-","0.00%"
"Dec 23, 2016","109.24","109.24","109.24","109.24","-","0.00%"
"Dec 22, 2016","109.24","109.24","109.24","109.24","-","0.08%"
"Dec 21, 2016","109.15","109.15","109.15","109.15","-","0.38%"
"Dec 20, 2016","108.74","108.74","108.74","108.74","-","-1.26%"
"Dec 19, 2016","110.13","110.13","110.13","110.13","-","0.13%"
"Dec 16, 2016","109.99","109.99","109.99","109.99","-","1.20%"
"Dec 15, 2016","108.69","108.69","108.69","108.69","-","-3.18%"
